2025-05-31 18:12:50,485 [INFO] [SERVER] Offering temperature service...
2025-05-31 18:12:51,490 [INFO] [SERVER] Sent: Timestamp=1, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:12:52,492 [INFO] [SERVER] Sent: Timestamp=2, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:12:53,507 [INFO] [SERVER] Sent: Timestamp=3, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:12:54,511 [INFO] [SERVER] Sent: Timestamp=4, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:12:55,525 [INFO] [SERVER] Sent: Timestamp=5, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:12:56,532 [INFO] [SERVER] Sent: Timestamp=6, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:12:57,537 [INFO] [SERVER] Sent: Timestamp=7, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:12:58,543 [INFO] [SERVER] Sent: Timestamp=8, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:12:59,552 [INFO] [SERVER] Sent: Timestamp=9, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:00,556 [INFO] [SERVER] Sent: Timestamp=10, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:01,572 [INFO] [SERVER] Sent: Timestamp=11, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:02,579 [INFO] [SERVER] Sent: Timestamp=12, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:03,582 [INFO] [SERVER] Sent: Timestamp=13, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:04,586 [INFO] [SERVER] Sent: Timestamp=14, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:05,592 [INFO] [SERVER] Sent: Timestamp=15, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:06,594 [INFO] [SERVER] Sent: Timestamp=16, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:07,596 [INFO] [SERVER] Sent: Timestamp=17, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:08,598 [INFO] [SERVER] Sent: Timestamp=18, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:09,599 [INFO] [SERVER] Sent: Timestamp=19, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:10,615 [INFO] [SERVER] Sent: Timestamp=20, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:11,628 [INFO] [SERVER] Sent: Timestamp=21, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:12,638 [INFO] [SERVER] Sent: Timestamp=22, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:13,648 [INFO] [SERVER] Sent: Timestamp=23, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:14,652 [INFO] [SERVER] Sent: Timestamp=24, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:15,656 [INFO] [SERVER] Sent: Timestamp=25, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:16,661 [INFO] [SERVER] Sent: Timestamp=26, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:17,677 [INFO] [SERVER] Sent: Timestamp=27, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:18,692 [INFO] [SERVER] Sent: Timestamp=28, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:19,697 [INFO] [SERVER] Sent: Timestamp=29, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:20,706 [INFO] [SERVER] Sent: Timestamp=30, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:21,713 [INFO] [SERVER] Sent: Timestamp=31, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:22,735 [INFO] [SERVER] Sent: Timestamp=32, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:23,737 [INFO] [SERVER] Sent: Timestamp=33, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:24,754 [INFO] [SERVER] Sent: Timestamp=34, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:25,756 [INFO] [SERVER] Sent: Timestamp=35, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:26,773 [INFO] [SERVER] Sent: Timestamp=36, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:27,790 [INFO] [SERVER] Sent: Timestamp=37, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:28,792 [INFO] [SERVER] Sent: Timestamp=38, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:29,798 [INFO] [SERVER] Sent: Timestamp=39, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:30,813 [INFO] [SERVER] Sent: Timestamp=40, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:31,829 [INFO] [SERVER] Sent: Timestamp=41, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:32,841 [INFO] [SERVER] Sent: Timestamp=42, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:33,845 [INFO] [SERVER] Sent: Timestamp=43, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:34,853 [INFO] [SERVER] Sent: Timestamp=44, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:35,860 [INFO] [SERVER] Sent: Timestamp=45, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:36,863 [INFO] [SERVER] Sent: Timestamp=46, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-05-31 18:13:37,877 [INFO] [SERVER] Sent: Timestamp=47, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:30,006 [INFO] [SERVER] Offering temperature service...
2025-06-02 10:09:31,020 [INFO] [SERVER] Sent: Timestamp=1, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:32,021 [INFO] [SERVER] Sent: Timestamp=2, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:33,030 [INFO] [SERVER] Sent: Timestamp=3, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:34,041 [INFO] [SERVER] Sent: Timestamp=4, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:35,046 [INFO] [SERVER] Sent: Timestamp=5, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:36,060 [INFO] [SERVER] Sent: Timestamp=6, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:37,073 [INFO] [SERVER] Sent: Timestamp=7, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:38,080 [INFO] [SERVER] Sent: Timestamp=8, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:39,097 [INFO] [SERVER] Sent: Timestamp=9, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:40,105 [INFO] [SERVER] Sent: Timestamp=10, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:41,106 [INFO] [SERVER] Sent: Timestamp=11, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:42,115 [INFO] [SERVER] Sent: Timestamp=12, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:43,122 [INFO] [SERVER] Sent: Timestamp=13, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:44,133 [INFO] [SERVER] Sent: Timestamp=14, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:45,137 [INFO] [SERVER] Sent: Timestamp=15, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:46,150 [INFO] [SERVER] Sent: Timestamp=16, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:47,154 [INFO] [SERVER] Sent: Timestamp=17, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:48,165 [INFO] [SERVER] Sent: Timestamp=18, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:49,168 [INFO] [SERVER] Sent: Timestamp=19, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:50,174 [INFO] [SERVER] Sent: Timestamp=20, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:51,182 [INFO] [SERVER] Sent: Timestamp=21, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:52,191 [INFO] [SERVER] Sent: Timestamp=22, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:53,199 [INFO] [SERVER] Sent: Timestamp=23, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:54,207 [INFO] [SERVER] Sent: Timestamp=24, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:55,224 [INFO] [SERVER] Sent: Timestamp=25, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:56,240 [INFO] [SERVER] Sent: Timestamp=26, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:57,242 [INFO] [SERVER] Sent: Timestamp=27, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:58,257 [INFO] [SERVER] Sent: Timestamp=28, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:09:59,258 [INFO] [SERVER] Sent: Timestamp=29, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:00,274 [INFO] [SERVER] Sent: Timestamp=30, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:01,282 [INFO] [SERVER] Sent: Timestamp=31, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:02,290 [INFO] [SERVER] Sent: Timestamp=32, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:03,299 [INFO] [SERVER] Sent: Timestamp=33, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:04,316 [INFO] [SERVER] Sent: Timestamp=34, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:05,317 [INFO] [SERVER] Sent: Timestamp=35, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:06,332 [INFO] [SERVER] Sent: Timestamp=36, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:07,348 [INFO] [SERVER] Sent: Timestamp=37, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:08,350 [INFO] [SERVER] Sent: Timestamp=38, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:09,365 [INFO] [SERVER] Sent: Timestamp=39, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:10,369 [INFO] [SERVER] Sent: Timestamp=40, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:11,373 [INFO] [SERVER] Sent: Timestamp=41, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:12,385 [INFO] [SERVER] Sent: Timestamp=42, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:13,398 [INFO] [SERVER] Sent: Timestamp=43, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:14,400 [INFO] [SERVER] Sent: Timestamp=44, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:15,406 [INFO] [SERVER] Sent: Timestamp=45, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:16,414 [INFO] [SERVER] Sent: Timestamp=46, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:17,416 [INFO] [SERVER] Sent: Timestamp=47, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:18,431 [INFO] [SERVER] Sent: Timestamp=48, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:19,448 [INFO] [SERVER] Sent: Timestamp=49, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:20,456 [INFO] [SERVER] Sent: Timestamp=50, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:21,472 [INFO] [SERVER] Sent: Timestamp=51, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:22,482 [INFO] [SERVER] Sent: Timestamp=52, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:23,499 [INFO] [SERVER] Sent: Timestamp=53, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:24,514 [INFO] [SERVER] Sent: Timestamp=54, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:25,516 [INFO] [SERVER] Sent: Timestamp=55, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:26,531 [INFO] [SERVER] Sent: Timestamp=56, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:27,540 [INFO] [SERVER] Sent: Timestamp=57, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:28,548 [INFO] [SERVER] Sent: Timestamp=58, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:29,564 [INFO] [SERVER] Sent: Timestamp=59, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:30,573 [INFO] [SERVER] Sent: Timestamp=60, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:31,582 [INFO] [SERVER] Sent: Timestamp=61, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:32,597 [INFO] [SERVER] Sent: Timestamp=62, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:33,604 [INFO] [SERVER] Sent: Timestamp=63, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:34,615 [INFO] [SERVER] Sent: Timestamp=64, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:35,632 [INFO] [SERVER] Sent: Timestamp=65, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:36,640 [INFO] [SERVER] Sent: Timestamp=66, Measurements=[20.0, 21.0, 22.0, 23.0]
2025-06-02 10:10:37,655 [INFO] [SERVER] Sent: Timestamp=67, Measurements=[20.0, 21.0, 22.0, 23.0]
